tau_m (s)	tau_ax (s)	rmse (mV)
6.951927961775606e-06	0.01	0.0005364532007050221
1.274274985703132e-05	1e-07	1.280268759973243
1.274274985703132e-05	1.832980710832437e-07	0.5742251719934047
1.274274985703132e-05	3.359818286283781e-07	0.2084425907910422
1.274274985703132e-05	6.158482110660267e-07	0.07426658494728586
1.274274985703132e-05	1.1288378916846883e-06	0.03241374268406262
1.274274985703132e-05	2.06913808111479e-06	0.01959955573159149
1.274274985703132e-05	3.792690190732254e-06	0.01902434425437818
1.274274985703132e-05	6.951927961775606e-06	0.018505868563412502
1.274274985703132e-05	1.274274985703132e-05	0.017688939160391527
1.274274985703132e-05	2.335721469090121e-05	0.010919141546578368
1.274274985703132e-05	4.281332398719396e-05	0.007197980149010341
1.274274985703132e-05	7.847599703514605e-05	0.005036841809463669
1.274274985703132e-05	0.0001438449888287663	0.003667053348518646
1.274274985703132e-05	0.00026366508987303583	0.002733684837646892
1.274274985703132e-05	0.00048329302385717517	0.0020717237413337046
1.274274985703132e-05	0.0008858667904100822	0.0018725927075292199
1.274274985703132e-05	0.001623776739188721	0.0015516218098384886
1.274274985703132e-05	0.002976351441631319	0.0015155915410564724
1.274274985703132e-05	0.005455594781168515	0.001435722772875043
1.274274985703132e-05	0.01	0.0013903589599424846
2.335721469090121e-05	1e-07	1.2723860941248148
2.335721469090121e-05	1.832980710832437e-07	0.5662295885814
2.335721469090121e-05	3.359818286283781e-07	0.2014958659310528
2.335721469090121e-05	6.158482110660267e-07	0.06802442838845002
2.335721469090121e-05	1.1288378916846883e-06	0.026444968700973275
2.335721469090121e-05	2.06913808111479e-06	0.014310437419464429
2.335721469090121e-05	3.792690190732254e-06	0.011550429447028185
2.335721469090121e-05	6.951927961775606e-06	0.011072746355697874
2.335721469090121e-05	1.274274985703132e-05	0.010626247812064765
2.335721469090121e-05	2.335721469090121e-05	0.010040852632348449
2.335721469090121e-05	4.281332398719396e-05	0.006340351646854171
2.335721469090121e-05	7.847599703514605e-05	0.004145433579335651
2.335721469090121e-05	0.0001438449888287663	0.003101722589910732
2.335721469090121e-05	0.00026366508987303583	0.002266288884803325
2.335721469090121e-05	0.00048329302385717517	0.001892601621574586
2.335721469090121e-05	0.0008858667904100822	0.0016370616031580866
2.335721469090121e-05	0.001623776739188721	0.0013963617027193927
2.335721469090121e-05	0.002976351441631319	0.0014475839533412414
2.335721469090121e-05	0.005455594781168515	0.0011397348348485402
2.335721469090121e-05	0.01	0.0010812193256686587
4.281332398719396e-05	1e-07	1.2681396830173792
4.281332398719396e-05	1.832980710832437e-07	0.5619537863103752
4.281332398719396e-05	3.359818286283781e-07	0.19784505956216808
4.281332398719396e-05	6.158482110660267e-07	0.06469372492267733
4.281332398719396e-05	1.1288378916846883e-06	0.023012190179536103
4.281332398719396e-05	2.06913808111479e-06	0.011014619764808402
4.281332398719396e-05	3.792690190732254e-06	0.007238285192694039
4.281332398719396e-05	6.951927961775606e-06	0.00682529236760445
4.281332398719396e-05	1.274274985703132e-05	0.006347576223457533
4.281332398719396e-05	2.335721469090121e-05	0.006182600548870486
4.281332398719396e-05	4.281332398719396e-05	0.0061022449936330644
4.281332398719396e-05	7.847599703514605e-05	0.004210527432731307
4.281332398719396e-05	0.0001438449888287663	0.0035545039029411616
4.281332398719396e-05	0.00026366508987303583	0.0030834569037189
4.281332398719396e-05	0.00048329302385717517	0.003766183270882056
4.281332398719396e-05	0.0008858667904100822	0.00281239001990466
