duty cycle (-)	amplitude (Pa)	normalized firing rate (-)
0.10256410256410256	319587.3050706517	0.9998182268195784
0.10256410256410256	354963.04508350854	0.9998813570376952
0.10256410256410256	394254.5945218393	0.9998219459616822
0.10256410256410256	437895.401942509	0.999799070029192
0.10256410256410256	486366.8951656802	0.9997756721227176
0.10256410256410256	540203.7921927313	0.9997725598308316
0.10256410256410256	600000.0000000003	0.9998441321229476
0.1282051282051282	10000.0	
0.1282051282051282	11106.919438024492	
0.1282051282051282	12336.365940276655	
0.1282051282051282	13701.902265664208	
0.1282051282051282	15218.592461241791	
0.1282051282051282	16903.168042713947	
0.1282051282051282	18774.21256978144	
0.1282051282051282	20852.366652490917	
0.1282051282051282	23160.555650136557	
0.1282051282051282	25724.24257459497	
0.1282051282051282	28571.708988022667	
0.1282051282051282	31734.366993664804	
0.1282051282051282	35247.10576153392	
0.1282051282051282	39148.67641168862	
0.1282051282051282	43482.11950099161	
0.1282051282051282	48295.23982920676	
0.1282051282051282	53641.13380230722	
0.1282051282051282	59578.775170651876	
0.1282051282051282	66173.66560366057	
0.1282051282051282	73498.55727786303	
0.1282051282051282	81634.25544962553	
0.1282051282051282	90670.50986621024	0.9997523367482734
0.1282051282051282	100707.0048488604	0.9997472678846558
0.1282051282051282	111854.45897010346	0.9997229709902138
0.1282051282051282	124235.84645647575	0.9997122266400206
0.1282051282051282	137987.75379068567	0.9997267283819192
0.1282051282051282	153261.88647871045	0.9998024254399508
0.1282051282051282	170226.74260386958	0.9997444549574253
0.1282051282051282	189069.4716298515	0.9997666711413864
0.1282051282051282	209997.93895826172	0.9997361432706586
0.1282051282051282	233243.01901605987	0.999819934560343
0.1282051282051282	259061.14216929968	0.9997284588178262
0.1282051282051282	287737.1235597027	0.999832136653328
0.1282051282051282	319587.3050706517	0.9997842097216934
0.1282051282051282	354963.04508350854	0.9997799337380064
0.1282051282051282	394254.5945218393	0.9998035517924536
0.1282051282051282	437895.401942509	0.9997874713092216
0.1282051282051282	486366.8951656802	0.999772647868594
0.1282051282051282	540203.7921927313	0.9998094463639208
0.1282051282051282	600000.0000000003	0.9998209254679352
0.15384615384615385	10000.0	
0.15384615384615385	11106.919438024492	
0.15384615384615385	12336.365940276655	
0.15384615384615385	13701.902265664208	
0.15384615384615385	15218.592461241791	
0.15384615384615385	16903.168042713947	
0.15384615384615385	18774.21256978144	
0.15384615384615385	20852.366652490917	
0.15384615384615385	23160.555650136557	
0.15384615384615385	25724.24257459497	
0.15384615384615385	28571.708988022667	
0.15384615384615385	31734.366993664804	
0.15384615384615385	35247.10576153392	
0.15384615384615385	39148.67641168862	
0.15384615384615385	43482.11950099161	
0.15384615384615385	48295.23982920676	
0.15384615384615385	53641.13380230722	
0.15384615384615385	59578.775170651876	
0.15384615384615385	66173.66560366057	
0.15384615384615385	73498.55727786303	
0.15384615384615385	81634.25544962553	
0.15384615384615385	90670.50986621024	0.9998031434115882
0.15384615384615385	100707.0048488604	0.99971390347078
0.15384615384615385	111854.45897010346	0.9997721779518496
0.15384615384615385	124235.84645647575	0.9997028852039967
0.15384615384615385	137987.75379068567	0.9997432362232612
0.15384615384615385	153261.88647871045	0.9997992232686352
0.15384615384615385	170226.74260386958	0.9997775316021456
0.15384615384615385	189069.4716298515	0.9996855885323545
0.15384615384615385	209997.93895826172	0.9997929150547988
0.15384615384615385	233243.01901605987	0.9998125144147728
0.15384615384615385	259061.14216929968	0.9997941036829197
0.15384615384615385	287737.1235597027	0.999801325043
0.15384615384615385	319587.3050706517	0.9998045545881504
0.15384615384615385	354963.04508350854	0.9997680015075224
0.15384615384615385	394254.5945218393	0.9997662475686324
0.15384615384615385	437895.401942509	0.9997671036616176
0.15384615384615385	486366.8951656802	0.9997528404709588
0.15384615384615385	540203.7921927313	0.9997683004132132
0.15384615384615385	600000.0000000003	0.9997927989161184
0.1794871794871795	10000.0	
0.1794871794871795	11106.919438024492	
0.1794871794871795	12336.365940276655	
0.1794871794871795	13701.902265664208	
0.1794871794871795	15218.592461241791	
0.1794871794871795	16903.168042713947	
0.1794871794871795	18774.21256978144	
0.1794871794871795	20852.366652490917	
0.1794871794871795	23160.555650136557	
0.1794871794871795	25724.24257459497	
0.1794871794871795	28571.708988022667	
0.1794871794871795	31734.366993664804	
0.1794871794871795	35247.10576153392	
0.1794871794871795	39148.67641168862	
0.1794871794871795	43482.11950099161	
0.1794871794871795	48295.23982920676	
0.1794871794871795	53641.13380230722	
