f (Hz)	A (Pa)	gamma (-)
106578.85419436524	12742.74985703132	0.08823790619170313
106578.85419436524	18329.807108324374	0.1346850013566516
106578.85419436524	26366.508987303554	0.2357236765468125
106578.85419436524	37926.901907322535	0.7117977468769048
106578.85419436524	54555.947811685146	0.7892491959394383
106578.85419436524	78475.99703514608	0.8533451872671486
106578.85419436524	112883.78916846885	0.9147896869588708
106578.85419436524	162377.67391887208	0.9765482154565228
106578.85419436524	233572.1469090121	1.0396909880865388
106578.85419436524	335981.8286283781	1.1045908915919258
106578.85419436524	483293.0238571753	1.1713588244858864
106578.85419436524	695192.7961775606	1.2400057167838616
106578.85419436524	1000000.0	1.3105854733799709
140856.82302255474	1000.0	0.01542606991389063
140856.82302255474	1438.449888287663	0.016895449475378896
140856.82302255474	2069.138081114789	0.01908194735136849
140856.82302255474	2976.351441631319	0.022306837439449445
140856.82302255474	4281.332398719395	0.0284774323695813
140856.82302255474	6158.4821106602685	0.04112135844446807
140856.82302255474	8858.667904100823	0.05980110248525964
140856.82302255474	12742.74985703132	0.08819937345764893
140856.82302255474	18329.807108324374	0.13468480459256654
140856.82302255474	26366.508987303554	0.23569992184387376
140856.82302255474	37926.901907322535	0.7116954530529269
140856.82302255474	54555.947811685146	0.7892226591550305
140856.82302255474	78475.99703514608	0.8533336976007738
140856.82302255474	112883.78916846885	0.9147823646563212
140856.82302255474	162377.67391887208	0.9765432059544128
140856.82302255474	233572.1469090121	1.0396860480780228
140856.82302255474	335981.8286283781	1.104591954132589
140856.82302255474	483293.0238571753	1.171410216193243
140856.82302255474	695192.7961775606	1.2404499557834618
140856.82302255474	1000000.0	1.3119195792184326
186159.29718876907	1000.0	0.015396926112825825
186159.29718876907	1438.449888287663	0.016927465502296866
186159.29718876907	2069.138081114789	0.01908856933674624
186159.29718876907	2976.351441631319	0.02232067001099354
186159.29718876907	4281.332398719395	0.02850857767112795
186159.29718876907	6158.4821106602685	0.04112096470450105
186159.29718876907	8858.667904100823	0.05985304775118841
186159.29718876907	12742.74985703132	0.08819987238525788
186159.29718876907	18329.807108324374	0.13468495242958034
186159.29718876907	26366.508987303554	0.2356531839247253
186159.29718876907	37926.901907322535	0.7114795504175887
186159.29718876907	54555.947811685146	0.7891779462766066
