tau_m (s)	tau_ax (s)	rmse (mV)
0.0001438449888287663	3.359818286283781e-07	3.182350532203473
0.0001438449888287663	6.158482110660267e-07	2.36565233886148
0.0001438449888287663	1.1288378916846883e-06	1.2753363575840893
0.0001438449888287663	2.06913808111479e-06	0.5056133511915858
0.0001438449888287663	3.792690190732254e-06	0.1723585584392837
0.0001438449888287663	6.951927961775606e-06	0.061394896048896475
0.0001438449888287663	1.274274985703132e-05	0.0304066548749514
0.0001438449888287663	2.335721469090121e-05	0.021239235448168785
0.0001438449888287663	4.281332398719396e-05	0.016925477588372338
0.0001438449888287663	7.847599703514605e-05	0.015022466548142413
0.0001438449888287663	0.0001438449888287663	0.013683269912970863
0.0001438449888287663	0.00026366508987303583	0.007686034763750048
0.0001438449888287663	0.00048329302385717517	0.004638255924006585
0.0001438449888287663	0.0008858667904100822	0.0031699589937319987
0.0001438449888287663	0.001623776739188721	0.0025014415639355828
0.0001438449888287663	0.002976351441631319	0.0016964236042324651
0.0001438449888287663	0.005455594781168515	0.0019752895066221933
0.0001438449888287663	0.01	0.0010263051032454132
0.00026366508987303583	1e-07	3.6719827481995786
0.00026366508987303583	1.832980710832437e-07	3.5452926025156994
0.00026366508987303583	3.359818286283781e-07	3.1780192297357344
0.00026366508987303583	6.158482110660267e-07	2.3599731401601165
0.00026366508987303583	1.1288378916846883e-06	1.2685844046681063
0.00026366508987303583	2.06913808111479e-06	0.499598769268585
0.00026366508987303583	3.792690190732254e-06	0.16745340042599305
0.00026366508987303583	6.951927961775606e-06	0.05619631644115967
0.00026366508987303583	1.274274985703132e-05	0.02434159021594813
0.00026366508987303583	2.335721469090121e-05	0.01569177563407969
0.00026366508987303583	4.281332398719396e-05	0.011811294342473534
0.00026366508987303583	7.847599703514605e-05	0.009711040931863877
0.00026366508987303583	0.0001438449888287663	0.008767025112660209
0.00026366508987303583	0.00026366508987303583	0.007531073090891956
0.00026366508987303583	0.00048329302385717517	0.004287411246763639
0.00026366508987303583	0.0008858667904100822	0.002889609131373843
0.00026366508987303583	0.001623776739188721	0.002707290805298492
0.00026366508987303583	0.002976351441631319	0.0031577015484875546
0.00026366508987303583	0.005455594781168515	0.0022793366357936233
0.00026366508987303583	0.01	0.002289844309605721
0.00048329302385717517	1e-07	3.670105014495471
0.00048329302385717517	1.832980710832437e-07	3.5432942150936846
0.00048329302385717517	3.359818286283781e-07	3.1756618266811363
0.00048329302385717517	6.158482110660267e-07	2.3569213471412462
0.00048329302385717517	1.1288378916846883e-06	1.264934401318556
0.00048329302385717517	2.06913808111479e-06	0.4963501208028581
0.00048329302385717517	3.792690190732254e-06	0.16479480234220736
0.00048329302385717517	6.951927961775606e-06	0.053249660809355503
0.00048329302385717517	1.274274985703132e-05	0.020551888337486317
0.00048329302385717517	2.335721469090121e-05	0.01184340307797222
0.00048329302385717517	4.281332398719396e-05	0.008559152752687572
0.00048329302385717517	7.847599703514605e-05	0.006783760496675882
0.00048329302385717517	0.0001438449888287663	0.005639195289368386
0.00048329302385717517	0.00026366508987303583	0.005081014599532389
0.00048329302385717517	0.00048329302385717517	0.005022008955776779
0.00048329302385717517	0.0008858667904100822	0.0037144541168351018
0.00048329302385717517	0.001623776739188721	0.002639890451708761
0.00048329302385717517	0.002976351441631319	0.003144529022281669
0.00048329302385717517	0.005455594781168515	0.0033642650555535517
0.00048329302385717517	0.01	0.003685447136699837
0.0008858667904100822	1e-07	3.66908532771368
0.0008858667904100822	1.832980710832437e-07	3.5422139747115917
0.0008858667904100822	3.359818286283781e-07	3.174411493840671
0.0008858667904100822	6.158482110660267e-07	2.3552598630844006
0.0008858667904100822	1.1288378916846883e-06	1.2629496857990588
0.0008858667904100822	2.06913808111479e-06	0.4945948258574283
0.0008858667904100822	3.792690190732254e-06	0.16335265283987907
0.0008858667904100822	6.951927961775606e-06	0.05162433090884243
0.0008858667904100822	1.274274985703132e-05	0.0181991032385858
0.0008858667904100822	2.335721469090121e-05	0.009200042336951502
0.0008858667904100822	4.281332398719396e-05	0.006404282504165882
0.0008858667904100822	7.847599703514605e-05	0.004924046485334297
0.0008858667904100822	0.0001438449888287663	0.0039463955939214096
0.0008858667904100822	0.00026366508987303583	0.003760328184469768
0.0008858667904100822	0.00048329302385717517	0.004428020007617663
0.0008858667904100822	0.0008858667904100822	0.004221675252861272
0.0008858667904100822	0.001623776739188721	0.003222207387929295
0.0008858667904100822	0.002976351441631319	0.00810684125861398
0.0008858667904100822	0.005455594781168515	0.007418872304428443
0.0008858667904100822	0.01	0.010868130550985677
0.001623776739188721	1e-07	3.668533068371764
0.001623776739188721	1.832980710832437e-07	3.5416238650527947
0.001623776739188721	3.359818286283781e-07	3.173725747909921
0.001623776739188721	6.158482110660267e-07	2.3543589196646275
0.001623776739188721	1.1288378916846883e-06	1.2618709063867006
0.001623776739188721	2.06913808111479e-06	0.4936354157014863
0.001623776739188721	3.792690190732254e-06	0.1625728655387677
0.001623776739188721	6.951927961775606e-06	0.05071865100991814
0.001623776739188721	1.274274985703132e-05	0.016808346572669525
0.001623776739188721	2.335721469090121e-05	0.0074571942843578405
0.001623776739188721	4.281332398719396e-05	0.0047566162883737675
0.001623776739188721	7.847599703514605e-05	0.004009822582482647
0.001623776739188721	0.0001438449888287663	0.0030308105543730944
0.001623776739188721	0.00026366508987303583	0.004347237214318653
0.001623776739188721	0.00048329302385717517	0.0029906630213295928
0.001623776739188721	0.0008858667904100822	0.0036313179576437757
0.001623776739188721	0.001623776739188721	0.0074492260072592425
0.001623776739188721	0.002976351441631319	0.0064508654648593065
0.001623776739188721	0.005455594781168515	0.02319625330194602
0.001623776739188721	0.01	0.017143262577658597
0.002976351441631319	1e-07	3.6682169888838114
0.002976351441631319	1.832980710832437e-07	3.5412873490109416
0.002976351441631319	3.359818286283781e-07	3.1733361608913686
0.002976351441631319	6.158482110660267e-07	2.3538521850453846
0.002976351441631319	1.1288378916846883e-06	1.2612712518029043
0.002976351441631319	2.06913808111479e-06	0.4931034276884729
0.002976351441631319	3.792690190732254e-06	0.16214409981828407
0.002976351441631319	6.951927961775606e-06	0.05022634241321232
